cliente_id,nome_cliente,cpf,agencia,numero_conta,tipo_conta,saldo,status_conta,data_atualizacao
1001,João Pereira,466.273.789-65,5316,58248036-1,Conta Corrente,5727.63,Bloqueada,2026-02-06
1002,Maria Souza,902.971.153-38,5344,51306751-7,Conta Corrente,5018.71,Ativa,2026-02-08
1003,Carlos Lima,973.873.455-72,4148,02927362-4,Conta Poupança,7464.79,Inativa,2026-02-11
1004,Ana Oliveira,787.204.525-14,3336,47083312-1,Conta Corrente,2810.62,Inativa,2026-02-08
1005,Lucas Santos,942.113.500-31,6664,16148459-5,Conta Poupança,16288.27,Inativa,2026-02-08
1006,Fernanda Costa,782.644.135-84,1861,99447152-9,Conta Corrente,1509.72,Bloqueada,2026-02-07
1007,Bruno Almeida,258.905.104-64,6820,58605257-8,Conta Poupança,4238.74,Bloqueada,2026-02-07
1008,Patricia Gomes,764.128.604-38,1366,29144140-1,Conta Corrente,15828.69,Bloqueada,2026-02-07
1009,Rafael Martins,942.431.165-99,1610,78116307-0,Conta Poupança,16653.52,Ativa,2026-02-12
1010,Juliana Rocha,502.838.415-78,9979,16686789-8,Conta Poupança,19130.17,Inativa,2026-02-06
1011,Eduardo Barros,564.660.687-32,6826,77434354-9,Conta Corrente,19098.06,Ativa,2026-02-09
1012,Camila Ribeiro,334.224.254-38,1182,80364578-9,Conta Poupança,14170.14,Inativa,2026-02-08
1013,Gustavo Nunes,199.257.232-64,7505,00413308-7,Conta Corrente,13769.55,Inativa,2026-02-12
1014,Beatriz Teixeira,915.716.804-97,5629,72549446-5,Conta Corrente,12048.26,Ativa,2026-02-10
1015,Thiago Moura,585.125.832-51,5398,33493673-7,Conta Corrente,6495.22,Ativa,2026-02-06
1016,Aline Freitas,390.141.351-38,8642,72510452-9,Conta Corrente,7520.98,Bloqueada,2026-02-12
1017,Diego Carvalho,581.675.689-97,7718,29416882-3,Conta Corrente,1491.13,Bloqueada,2026-02-12
1018,Renata Azevedo,403.670.176-13,9591,23987242-3,Conta Corrente,5286.84,Bloqueada,2026-02-06
1019,Marcelo Pinto,677.269.915-37,4218,35850594-5,Conta Poupança,2976.85,Bloqueada,2026-02-11
1020,Larissa Duarte,770.523.563-28,2648,50240909-8,Conta Corrente,6345.31,Ativa,2026-02-10
1021,Paulo Batista,410.845.883-20,6084,20315669-2,Conta Poupança,18585.46,Ativa,2026-02-09
1022,Vanessa Farias,270.448.676-58,7535,62899666-1,Conta Poupança,7439.63,Inativa,2026-02-08
1023,Rodrigo Peixoto,422.468.890-73,5271,16978905-8,Conta Corrente,1988.99,Ativa,2026-02-09
1024,Priscila Andrade,362.692.153-26,8563,92241026-8,Conta Poupança,19470.16,Inativa,2026-02-08
1025,Felipe Borges,858.480.990-15,6580,40685201-9,Conta Poupança,17277.75,Bloqueada,2026-02-05
1026,Mariana Tavares,499.860.476-28,2804,38148240-9,Conta Corrente,4967.15,Inativa,2026-02-07
1027,Leonardo Campos,626.973.622-48,1321,65662246-1,Conta Corrente,16595.47,Inativa,2026-02-11
1028,Natália Coelho,138.940.727-61,3704,69706377-9,Conta Poupança,19116.74,Inativa,2026-02-09
1029,Vitor Monteiro,598.555.991-68,7771,90323000-5,Conta Corrente,2436.46,Ativa,2026-02-07
1030,Sabrina Pacheco,931.407.172-67,8510,49753080-9,Conta Poupança,15784.41,Inativa,2026-02-05
